Year/Mont,route_or_line,average_monthly_ridership,countofdates,ObjectId
2021/09,Orange Line,91266,30,728
2021/10,Orange Line,94164,31,737
2021/11,Orange Line,89855,30,746
2021/12,Orange Line,79307,31,405
2022/01,Orange Line,64068,31,414
2022/02,Orange Line,81133,28,423
2022/03,Orange Line,89601,31,432
2022/04,Orange Line,93106,30,441
2022/05,Orange Line,91129,31,450
2022/06,Orange Line,95661,30,659
2022/07,Orange Line,84233,31,668
2022/08,Orange Line,59616,31,677
2022/09,Orange Line,45835,30,686
2022/10,Orange Line,92129,31,695
2022/11,Orange Line,90230,30,934
2022/12,Orange Line,79553,31,943
2023/01,Orange Line,79876,31,952
2023/02,Orange Line,81407,28,961
2023/03,Orange Line,88081,31,970
2023/04,Orange Line,84343,30,979
2023/05,Orange Line,88796,31,988
2023/06,Orange Line,87740,30,801
2023/07,Orange Line,85694,31,810
2023/08,Orange Line,91089,31,819
2023/09,Orange Line,92451,30,828
2023/10,Orange Line,99674,31,837
2023/11,Orange Line,92055,30,846
2023/12,Orange Line,83342,31,856
2024/01,Orange Line,90481,31,865
2024/02,Orange Line,86163,29,873
2024/03,Orange Line,83067,31,882
2024/04,Orange Line,94862,30,891
2024/05,Orange Line,85752,31,900
2024/06,Orange Line,73054,30,909
2024/07,Orange Line,90622,31,918
2024/08,Orange Line,87822,31,927
2016/01,Red Line,193558,31,59
2016/02,Red Line,210145,29,70
2016/03,Red Line,223421,31,81
2016/04,Red Line,220705,30,92
2016/05,Red Line,215145,31,153
2016/06,Red Line,226684,30,164
2016/07,Red Line,208964,31,176
2016/08,Red Line,214542,31,187
2016/09,Red Line,225006,30,198
2016/10,Red Line,218533,31,307
2016/11,Red Line,209449,30,320
2016/12,Red Line,188208,31,331
2017/01,Red Line,189336,33,342
2017/02,Red Line,202754,28,202
2017/03,Red Line,211022,31,213
2017/04,Red Line,214485,30,224
2017/05,Red Line,217556,31,235
2017/06,Red Line,224491,30,246
2017/07,Red Line,208281,31,5
2017/08,Red Line,215887,31,18
2017/09,Red Line,219484,30,29
2017/10,Red Line,220691,31,40
2017/11,Red Line,206792,30,312
2017/12,Red Line,174254,31,362
2018/01,Red Line,172442,33,373
2018/02,Red Line,196461,28,384
2018/03,Red Line,193606,31,395
2018/04,Red Line,208652,30,106
2018/05,Red Line,212718,31,117
2018/06,Red Line,212608,30,128
2018/07,Red Line,206693,31,137
2018/08,Red Line,208832,31,146
2018/09,Red Line,209234,30,255
2018/10,Red Line,228623,31,264
2018/11,Red Line,204015,30,273
2018/12,Red Line,174663,31,282
2019/01,Red Line,191446,31,291
